image_id,defect_name,target_defective,predicted_defective,largest_component_fraction,dice,iou,pixel_precision,pixel_recall,pixel_f1,true_positive_pixels,false_positive_pixels,false_negative_pixels,true_negative_pixels,fabric_code,ground_truth_pixels,ground_truth_fraction,size_bin,local_contrast,centroid_x,centroid_y,image_standard_deviation,classification_correct
0001_002_00,broken_end,True,True,0.0021610260009765625,0.37128306226384095,0.2279604599556183,0.24083546462063085,0.8100358422939068,0.37128306226384095,1130,3562,265,1043619,00,1395,0.0013303756713867188,medium_257_4096,11.506426911462981,0.8528661584341398,0.5168990815412187,78.21580673550966,True
0003_000_00,normal,False,False,2.86102294921875e-06,0.0,0.0,0.0,0.0,0.0,0,8,0,1048568,00,0,0.0,tiny_1_32,,,,83.82863349717968,True
0003_000_06,normal,False,False,0.00030803680419921875,0.0,0.0,0.0,0.0,0.0,0,1649,0,1046927,06,0,0.0,tiny_1_32,,,,23.594489551001427,True
0005_002_01,broken_end,True,True,0.0031957626342773438,0.558065308126688,0.38702537033883877,0.4073476702508961,0.8858144972720187,0.558065308126688,2273,3307,293,1042703,01,2566,0.0024471282958984375,medium_257_4096,2.5310396682528733,0.549001573308408,0.4916988381722525,22.84839795784382,True
0006_000_06,normal,False,True,0.00293731689453125,0.0,0.0,0.0,0.0,0.0,0,4604,0,1043972,06,0,0.0,tiny_1_32,,,,22.20641109564127,False
0007_000_06,normal,False,False,0.00014781951904296875,0.0,0.0,0.0,0.0,0.0,0,568,0,1048008,06,0,0.0,tiny_1_32,,,,22.712335463870758,True
0009_000_02,normal,False,False,0.000171661376953125,0.0,0.0,0.0,0.0,0.0,0,261,0,1048315,02,0,0.0,tiny_1_32,,,,37.356000386376536,True
0009_000_03,normal,False,False,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0,4,0,1048572,03,0,0.0,tiny_1_32,,,,78.79693515070045,True
0009_000_05,normal,False,False,0.0002346038818359375,0.0,0.0,0.0,0.0,0.0,0,1329,0,1047247,05,0,0.0,tiny_1_32,,,,34.55706296240425,True
0011_000_05,normal,False,False,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0,1,0,1048575,05,0,0.0,tiny_1_32,,,,36.13987528273221,True
0012_000_02,normal,False,False,5.91278076171875e-05,0.0,0.0,0.0,0.0,0.0,0,74,0,1048502,02,0,0.0,tiny_1_32,,,,38.48017083419971,True
0013_000_04,normal,False,True,0.0004596710205078125,0.0,0.0,0.0,0.0,0.0,0,1355,0,1047221,04,0,0.0,tiny_1_32,,,,19.279827668944442,False
0013_000_06,normal,False,True,0.003032684326171875,0.0,0.0,0.0,0.0,0.0,0,5423,0,1043153,06,0,0.0,tiny_1_32,,,,24.322611501215317,False
0014_000_00,normal,False,False,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0,4,0,1048572,00,0,0.0,tiny_1_32,,,,79.60817911968408,True
0014_000_01,normal,False,True,0.0007419586181640625,0.0,0.0,0.0,0.0,0.0,0,2105,0,1046471,01,0,0.0,tiny_1_32,,,,45.97640111395204,False
0015_000_01,normal,False,False,4.291534423828125e-05,0.0,0.0,0.0,0.0,0.0,0,79,0,1048497,01,0,0.0,tiny_1_32,,,,46.743736298186626,True
0015_000_02,normal,False,False,3.910064697265625e-05,0.0,0.0,0.0,0.0,0.0,0,87,0,1048489,02,0,0.0,tiny_1_32,,,,38.503382997123744,True
0015_000_04,normal,False,False,0.0002079010009765625,0.0,0.0,0.0,0.0,0.0,0,716,0,1047860,04,0,0.0,tiny_1_32,,,,19.201933832053772,True
0015_000_05,normal,False,False,4.00543212890625e-05,0.0,0.0,0.0,0.0,0.0,0,43,0,1048533,05,0,0.0,tiny_1_32,,,,36.23555214374706,True
0016_000_01,normal,False,True,0.0007314682006835938,0.0,0.0,0.0,0.0,0.0,0,1255,0,1047321,01,0,0.0,tiny_1_32,,,,46.12200412549313,False
0016_006_02,broken_yarn,True,True,0.006024360656738281,0.540018190086403,0.3698800809842704,0.3698800809842704,1.0,0.540018190086403,2375,4046,0,1042155,02,2375,0.0022649765014648438,medium_257_4096,101.36173025146684,0.7822365337171052,0.7239177631578947,24.80556147944778,True
0017_002_02,broken_end,True,True,0.0022306442260742188,0.012658227848101266,0.006369426751592357,0.00676818950930626,0.0975609756097561,0.012658227848101266,16,2348,148,1046064,02,164,0.000156402587890625,small_33_256,11.063075291622482,0.6396573694740854,0.8718321265243902,39.69765570549447,True
0018_000_06,normal,False,True,0.0028543472290039062,0.0,0.0,0.0,0.0,0.0,0,5033,0,1043543,06,0,0.0,tiny_1_32,,,,24.306887990717826,False
0018_010_03,broken_pick,True,True,0.005799293518066406,0.34090681613452106,0.20547779922779924,0.2066747572815534,0.9725870930896631,0.34090681613452106,1703,6537,48,1040288,03,1751,0.0016698837280273438,medium_257_4096,1.4907935705082878,0.337765417529269,0.7416877855511137,78.65274234556404,True
0019_000_03,normal,False,False,8.678436279296875e-05,0.0,0.0,0.0,0.0,0.0,0,188,0,1048388,03,0,0.0,tiny_1_32,,,,77.66624686310752,True
0019_000_04,normal,False,True,0.000598907470703125,0.0,0.0,0.0,0.0,0.0,0,1038,0,1047538,04,0,0.0,tiny_1_32,,,,19.739519823926763,False
0020_000_06,normal,False,True,0.0027341842651367188,0.0,0.0,0.0,0.0,0.0,0,5346,0,1043230,06,0,0.0,tiny_1_32,,,,21.08996594797726,False
